crash_id,vehicle_id
20215133,1
20215156,2
20215047,3
20215063,4
20215152,4
20215013,3
20215078,5
20215057,6
20215150,7
20215054,8
20215144,3
20215151,5
20215066,3
20215076,4
20215105,5
20215106,4
20215141,3
20215018,3
20215149,5
20215024,5
20215095,1
20215001,3
20215114,5
20215067,9
20215065,5
20215041,3
20215020,3
20215125,5
20215157,3
20215059,3
20215154,3
20215102,8
20215127,4
20215077,3
20215044,1
20215140,10
20215088,3
20215155,3
20215147,11
20215055,5
20215121,10
20215014,10
20215040,5
20215142,10
20215132,12
20215128,3
20215089,13
20215028,14
20215002,15
20215022,1
20215030,6
20215038,3
20215049,3
20215145,1
20215110,16
20215015,2
20215007,5
20215123,10
20215091,3
20215153,5
20215139,3
20215082,3
20215131,1
20215005,17
20215046,3
20215143,4
20215061,2
20215052,2
20215099,3
20215004,5
20215021,3
20215073,3
20215009,3
20215098,2
20215096,2
20215070,3
20215148,3
20215045,14
20215083,2
20215011,5
20215056,14
20215053,3
20215033,3
20215068,3
20215006,5
20215100,14
20215036,3
20215037,3
20215108,3
20215124,3
20215069,5
20215058,10
20215092,4
20215090,13
20215094,2
20215050,18
20215115,2
20215134,10
20215093,4
20215003,3
20215136,3
20215111,3
20215039,14
20215043,2
20215146,14
20215042,1
20215087,3
20215034,1
20215086,3
20215027,14
20215074,1
20215097,3
20215060,2
20215119,1
20215103,3
20215138,4
20215117,3
20215129,7
20215081,8
20215008,3
20215158,3
20215071,3
20215126,3
20215080,3
20215026,2
20215051,3
20215113,4
20215064,5
20215118,3
20215029,3
20215010,4
20215085,5
20215135,2
20215079,8
20215048,2
20215130,5
20215025,3
20215109,10
20215031,3
20215032,2
20215112,4
20215035,10
