crash_id,Crash Type,Number Fatalities
20215133,Single,1
20215156,Single,1
20215047,Single,1
20215063,Single,1
20215152,Single,1
20215013,Single,1
20215078,Single,1
20215057,Single,1
20215150,Single,1
20215054,Single,1
20215144,Single,1
20215151,Single,1
20215066,Single,1
20215076,Multiple,2
20215105,Single,1
20215106,Single,1
20215141,Single,1
20215018,Single,1
20215149,Single,1
20215024,Single,1
20215095,Multiple,2
20215001,Single,1
20215114,Single,1
20215067,Single,1
20215065,Single,1
20215041,Single,1
20215020,Single,1
20215125,Single,1
20215157,Single,1
20215059,Single,1
20215154,Single,1
20215102,Single,1
20215127,Single,1
20215077,Single,1
20215044,Single,1
20215140,Single,1
20215088,Single,1
20215155,Single,1
20215147,Single,1
20215055,Single,1
20215121,Single,1
20215014,Single,1
20215040,Single,1
20215142,Multiple,2
20215132,Single,1
20215128,Single,1
20215089,Single,1
20215028,Single,1
20215002,Single,1
20215022,Single,1
20215030,Single,1
20215038,Single,1
20215049,Single,1
20215145,Single,1
20215110,Single,1
20215015,Single,1
20215007,Single,1
20215123,Single,1
20215091,Single,1
20215153,Single,1
20215139,Single,1
20215082,Single,1
20215131,Single,1
20215005,Single,1
20215046,Single,1
20215143,Single,1
20215061,Single,1
20215052,Single,1
20215099,Single,1
20215004,Single,1
20215021,Single,1
20215073,Single,1
20215009,Single,1
20215098,Single,1
20215096,Single,1
20215070,Multiple,2
20215148,Single,1
20215045,Single,1
20215083,Single,1
20215011,Single,1
20215056,Single,1
20215053,Single,1
20215033,Single,1
20215068,Single,1
20215006,Single,1
20215100,Single,1
20215036,Single,1
20215037,Single,1
20215108,Single,1
20215124,Single,1
20215069,Single,1
20215058,Single,1
20215092,Single,1
20215090,Single,1
20215094,Single,1
20215050,Single,1
20215115,Single,1
20215134,Single,1
20215093,Single,1
20215003,Multiple,2
20215136,Multiple,2
20215111,Single,1
20215039,Single,1
20215043,Single,1
20215146,Single,1
20215042,Single,1
20215087,Single,1
20215034,Single,1
20215086,Single,1
20215027,Single,1
20215074,Single,1
20215097,Single,1
20215060,Single,1
20215119,Single,1
20215103,Single,1
20215138,Single,1
20215117,Single,1
20215129,Single,1
20215081,Single,1
20215008,Single,1
20215158,Single,1
20215071,Single,1
20215126,Single,1
20215080,Single,1
20215026,Single,1
20215051,Single,1
20215113,Single,1
20215064,Single,1
20215118,Single,1
20215029,Single,1
20215010,Single,1
20215085,Single,1
20215135,Single,1
20215079,Multiple,2
20215048,Single,1
20215130,Single,1
20215025,Single,1
20215109,Single,1
20215031,Single,1
20215032,Single,1
20215112,Single,1
20215035,Single,1
